FILE_NAME|INFOBIP_FILE_COUNT|CDR_LOAD_DATE|DB_FILE_COUNT|DIFFERENCES
15102024_6211|12053|2024-10-15 07:40:01|12053|0
15102024_6213|8937|2024-10-15 07:50:01|8937|0
15102024_6215|8104|2024-10-15 07:59:02|8104|0
15102024_6217|11946|2024-10-15 08:08:01|11946|0
15102024_6219|10353|2024-10-15 08:18:02|10353|0
15102024_6221|7260|2024-10-15 08:28:01|7260|0
15102024_6223|13660|2024-10-15 08:37:02|13660|0
15102024_6225|22244|2024-10-15 08:48:01|22244|0
15102024_6227|18976|2024-10-15 08:58:02|18976|0
15102024_6229|14495|2024-10-15 09:08:01|14495|0
15102024_6231|12280|2024-10-15 09:17:01|12280|0
15102024_6233|12172|2024-10-15 09:28:01|12172|0
15102024_6235|1|2024-10-15 09:30:01|1|0
15102024_6237|16215|2024-10-15 09:39:02|16215|0
15102024_6240|23429|2024-10-15 09:49:02|23429|0
15102024_6243|26253|2024-10-15 10:00:02|26253|0
15102024_6245|37975|2024-10-15 10:12:02|37975|0
15102024_6248|32401|2024-10-15 10:22:01|32401|0
15102024_6250|24071|2024-10-15 10:32:02|24071|0
15102024_6251|40971|2024-10-15 10:38:01|40971|0
15102024_6253|50072|2024-10-15 10:48:02|50072|0
15102024_6256|52807|2024-10-15 10:58:03|52807|0
15102024_6258|44987|2024-10-15 11:09:02|44987|0
15102024_6260|35100|2024-10-15 11:16:02|35100|0
15102024_6262|26580|2024-10-15 11:26:01|26580|0
15102024_6264|30003|2024-10-15 11:36:02|30003|0
15102024_6267|75548|2024-10-15 11:45:03|75548|0
15102024_6268|11995|2024-10-15 11:48:02|11995|0
15102024_6270|41048|2024-10-15 11:55:02|41048|0
15102024_6272|19580|2024-10-15 12:01:02|19580|0
15102024_6274|34319|2024-10-15 12:09:03|34319|0
15102024_6276|33188|2024-10-15 12:19:02|33188|0
15102024_6279|53818|2024-10-15 12:29:02|53818|0
15102024_6281|40546|2024-10-15 12:39:02|40546|0
15102024_6283|35805|2024-10-15 12:48:02|35805|0
15102024_6285|51289|2024-10-15 12:58:02|51289|0
15102024_6287|50223|2024-10-15 13:08:02|50223|0
15102024_6289|39344|2024-10-15 13:17:02|39344|0
15102024_6291|55405|2024-10-15 13:27:02|55405|0
15102024_6293|46482|2024-10-15 13:34:02|46482|0
15102024_6295|20555|2024-10-15 13:44:02|20555|0
15102024_6296|1|2024-10-15 13:45:01|1|0
15102024_6298|36558|2024-10-15 13:54:02|36558|0
15102024_6300|48995|2024-10-15 14:04:02|48995|0
15102024_6302|83047|2024-10-15 14:14:03|83047|0
15102024_6304|25989|2024-10-15 14:22:02|25989|0
15102024_6306|14315|2024-10-15 14:27:02|14315|0
15102024_6308|32671|2024-10-15 14:37:02|32671|0
15102024_6310|26996|2024-10-15 14:47:02|26996|0
15102024_6311|14960|2024-10-15 14:51:02|14960|0
15102024_6313|23600|2024-10-15 15:01:01|23600|0
15102024_6315|3853|2024-10-15 15:02:02|3853|0
15102024_6317|29824|2024-10-15 15:13:02|29824|0
15102024_6318|2|2024-10-15 15:13:02|2|0
15102024_6320|32021|2024-10-15 15:22:02|32021|0
15102024_6323|23148|2024-10-15 15:32:03|23148|0
15102024_6324|1|2024-10-15 15:32:03|1|0
15102024_6326|28748|2024-10-15 15:42:02|28748|0
15102024_6327|23975|2024-10-15 15:51:02|23975|0
15102024_6329|13217|2024-10-15 15:55:02|13217|0
15102024_6331|26374|2024-10-15 16:04:02|26374|0
15102024_6333|20960|2024-10-15 16:15:02|20960|0
15102024_6334|1|2024-10-15 16:15:02|1|0
15102024_6336|29223|2024-10-15 16:24:01|29223|0
15102024_6338|37999|2024-10-15 16:35:01|37999|0
15102024_6340|22483|2024-10-15 16:42:02|22483|0
15102024_6342|28959|2024-10-15 16:52:02|28959|0
15102024_6343|13648|2024-10-15 16:55:01|13648|0
15102024_6345|49160|2024-10-15 17:06:02|49160|0
15102024_6347|72644|2024-10-15 17:14:02|72644|0
15102024_6349|57872|2024-10-15 17:24:02|57872|0
15102024_6351|64261|2024-10-15 17:34:02|64261|0
15102024_6353|60799|2024-10-15 17:45:02|60799|0
15102024_6354|11139|2024-10-15 17:48:01|11139|0
15102024_6356|22650|2024-10-15 17:58:01|22650|0
15102024_6358|24665|2024-10-15 18:04:02|24665|0
15102024_6360|82342|2024-10-15 18:15:02|82342|0
15102024_6361|13480|2024-10-15 18:17:02|13480|0
15102024_6363|57673|2024-10-15 18:26:02|57673|0
15102024_6365|82383|2024-10-15 18:37:03|82383|0
15102024_6368|60459|2024-10-15 18:45:03|60459|0
15102024_6370|44624|2024-10-15 18:55:02|44624|0
15102024_6372|44789|2024-10-15 19:04:03|44789|0
15102024_6374|34630|2024-10-15 19:14:02|34630|0
15102024_6376|24346|2024-10-15 19:23:02|24346|0
15102024_6378|37347|2024-10-15 19:33:02|37347|0
15102024_6380|40988|2024-10-15 19:44:02|40988|0
15102024_6382|34110|2024-10-15 19:54:02|34110|0
15102024_6384|20797|2024-10-15 20:03:02|20797|0
15102024_6386|52658|2024-10-15 20:12:02|52658|0
15102024_6389|28074|2024-10-15 20:22:02|28074|0
15102024_6390|3|2024-10-15 20:22:02|3|0
15102024_6393|27907|2024-10-15 20:32:01|27907|0
15102024_6395|83793|2024-10-15 20:41:03|83793|0
15102024_6397|86497|2024-10-15 20:51:03|86497|0
15102024_6399|25681|2024-10-15 21:01:01|25681|0
15102024_6401|48037|2024-10-15 21:11:02|48037|0
15102024_6403|23730|2024-10-15 21:21:01|23730|0
15102024_6405|36411|2024-10-15 21:32:02|36411|0
15102024_6407|41156|2024-10-15 21:41:02|41156|0
15102024_6409|33757|2024-10-15 21:52:02|33757|0
15102024_6411|38863|2024-10-15 22:01:02|38863|0
15102024_6413|49680|2024-10-15 22:10:03|49680|0
15102024_6414|35047|2024-10-15 22:20:02|35047|0
15102024_6417|17171|2024-10-15 22:30:02|17171|0
15102024_6418|11766|2024-10-15 22:33:01|11766|0
15102024_6420|20180|2024-10-15 22:43:02|20180|0
15102024_6422|23825|2024-10-15 22:53:02|23825|0
15102024_6424|21762|2024-10-15 23:02:02|21762|0
15102024_6426|22674|2024-10-15 23:13:01|22674|0
15102024_6428|21049|2024-10-15 23:22:01|21049|0
15102024_6430|17997|2024-10-15 23:32:02|17997|0
15102024_6432|15228|2024-10-15 23:41:01|15228|0
15102024_6434|19545|2024-10-15 23:50:02|19545|0
15102024_6436|16021|2024-10-16 00:02:01|16021|0
15102024_6438|13044|2024-10-16 00:11:01|13044|0
15102024_6440|9479|2024-10-16 00:21:01|9479|0
15102024_6442|9021|2024-10-16 00:31:01|9021|0
15102024_6444|688|2024-10-16 00:32:01|688|0
15102024_6446|507|2024-10-16 00:32:01|507|0
15102024_6448|45|2024-10-16 00:33:02|45|0
15102024_6450|1|2024-10-16 00:34:01|1|0
16102024_6479|1|2024-10-16 02:45:02|1|0
